J133,JAN
M020,ELEC ROOM
M001,MECH ROOM
C001,STAIR
3,STORAGE
M002,FA CLOSET
C012,STAIR
C009,ELEVATOR
C007,ELEVATOR
4,STORAGE
C002,CORRIDOR
C010,CORRIDOR
103,STUDY
J105,JAN
114,LAUNDRY
M102,FA CLOSET
M105,ELEC ROOM
114A,STORAGE
T117,MENS
T115,WOMENS
C100,VEST
100,GAME ROOM
C101,STAIR
C109,ELEVATOR
C107,ELEVATOR
C112,STAIR
107,STUDY
105,STUDY
109,DINING ROOM
C108,VEST
109A,DINING ROOM
109B,LIVING ROOM
101,LIVING ROOM
C102,CORRIDOR
C104,VEST
C111,CORRIDOR
106,STORAGE
111,LIVING ROOM
113,LIVING ROOM
J186,JAN
M188,TEL/ DATA
T133C,RESTROOM
M138,FA CLOSET
T133A,RESTOOM
T133B,RESTROOM
C194,ELEVATOR
T197,RESTROOM
C141,ELEVATOR
M190,ELEC ROOM
C136,ELEVATOR
C138,ELEVATOR
M140,TEL/ DATA
131A,VEST
148,CORRIDOR
C162,VEST
176,DISH DROP
M140A,ELEC ROOM
147,DINING ROOM
196,OFFICE
C145,STAIR
C139,VEST
C134,STAIR
C146,VEST
197,CORRIDOR
C143,VEST
T148A,MENS
172,VENUE 2
C184,STAIR
170,VENUE 3
142,CAFE
174,VENUE 1
192,CORRIDOR
170A,KITCHEN
T148B,WOMENS
142A,BOH / SUPPORT
195,DRY STORAGE
182,STORAGE
C130,CORRIDOR
131,LAUNDRY
198,STORAGE
144,LIVING ROOM
172A,KITCHEN
600,APT UNIT
146,LIVING ROOM
130,LIVING ROOM
132,LIVING ROOM
139,LOBBY
178,DISHWASH ROOM
137,LIVING ROOM
190,SUPPORT KITCHEN
C160,CORRIDOR
161,DINING ROOM
149,DINING ROOM
C140,CORRIDOR
180,PRIVATE DINING
C212,STAIR
C201,STAIR
C207,ELEVATOR
C209,ELEVATOR
203,STUDY
J205,JAN
M205A,TEL/DATA
220A,BR
220B,BR
220C,BR
220D,BR
220H,BR
220G,BR
220F,BR
220E,BR
210,APT UNIT
210H,BR
210G,BR
210F,BR
210E,BR
210A,BR
210B,BR
210C,BR
210D,BR
T210C,BATH
200F,BR
200G,BR
200H,BR
200A,BR
200B,BR
200C,BR
T220A,BATH
T220B,BATH
M210A,BCU
T210A,BATH
T210B,BATH
T200B,BATH
T200C,BATH
T200A,BATH
T204,BATH
T220D,BATH
220K,KITCHEN
200K,KITCHEN
210K,KITCHEN
210J,KITCHEN
210S,STAIR
220S,STAIR
200S,STAIR
200E,BR
200,APT UNIT
200J,KITCHEN
204,RA
204A,KITCHEN
220,APT UNIT
220J,KITCHEN
C210,CORRIDOR
C202,CORRIDOR
C205,CORRIDOR
M205B,BCU
M220A,BCU
M220B,BCU
M202,FA CLOSET
M200A,BCU
M200B,BCU
T210D,BATH
T220C,BATH
M290,ELEC ROOM
M288,TEL/ DATA
J286,JAN
M242,TEL/ DATA
M238,FA CLOSET
M242A,ELEC ROOM
239,STUDY
C238,ELEVATOR
C236,ELEVATOR
C234,STAIR
C284,STAIR
C290,CORRIDOR
C280,CORRIDOR
C240,CORRIDOR
C230,CORRIDOR
290A,BR
290B,BR
290D,BR
290E,BR
290F,BR
290G,BR
290H,BR
290,APT UNIT
280,APT UNIT
280H,BR
280G,BR
280F,BR
280E,BR
280A,BR
280B,BR
280D,BR
282,RA
270D,BR
270C,BR
270B,BR
270A,BR
270,APT UNIT
270E,BR
270F,BR
270G,BR
270H,BR
250D,BR
250C,BR
250B,BR
250A,BR
250,APT UNIT
250E,BR
250F,BR
250G,BR
260,APT UNIT
260H,BR
260G,BR
260F,BR
260E,BR
260A,BR
260B,BR
260C,BR
260D,BR
240H,BR
240G,BR
240F,BR
240E,BR
240A,BR
240B,BR
240C,BR
240D,BR
240,APT UNIT
237,SR DIR APT
230G,BR
230F,BR
230E,BR
230,APT UNIT
230A,BR
230B,BR
230C,BR
230D,BR
T270C,BATH
T270D,BATH
T250B,BATH
T250A,BATH
T250C,BATH
T250D,BATH
T237,BATH
230K,KITCHEN
T240A,BATH
T240C,BATH
T240D,BATH
T260B,BATH
T260A,BATH
T260C,BATH
T260D,BATH
T280B,BATH
T270A,BATH
T270B,BATH
T282,BATH
T280D,BATH
T290B,BATH
290K,KITCHEN
290J,KITCHEN
T290D,BATH
280J,KITCHEN
280K,KITCHEN
270K,KITCHEN
270J,KITCHEN
260K,KITCHEN
260J,KITCHEN
250K,KITCHEN
250J,KITCHEN
237A,BR
230J,KITCHEN
290S,STAIR
260S,STAIR
240J,KITCHEN
240K,KITCHEN
290C,BR
T240B,BATH
T290A,BATH
T280C,BATH
280C,BR
T280A,BATH
282A,KITCHEN
270S,STAIR
280S,STAIR
250S,STAIR
250H,BR
T230A,BATH
T230B,BATH
230S,STAIR
T230C,BATH
T230D,BATH
240S,STAIR
T290C,BATH
M290A,BCU
M290B,BCU
M280B,BCU
M270A,BCU
M280A,BCU
M260A,BCU
M260B,BCU
M270B,BCU
M250A,BCU
M250B,BCU
M240A,BCU
M240B,BCU
M230B,BCU
M230A,BCU
C260,CORRIDOR
M302,FA CLOSET
303,STUDY
C312,STAIR
C301,STAIR
C307,ELEVATOR
C309,ELEVATOR
320A,BR
320B,BR
320C,BR
320D,BR
320H,BR
320G,BR
320F,BR
320E,BR
310H,BR
310G,BR
310F,BR
310E,BR
310A,BR
310B,BR
310C,BR
310D,BR
300F,BR
300G,BR
300H,BR
300A,BR
300B,BR
300C,BR
T320D,BATH
T320A,BATH
M320A,BCU
M310A,BCU
T310A,BATH
T310B,BATH
T300B,BATH
T300C,BATH
T300A,BATH
T304A,BATH
320K,KITCHEN
300K,KITCHEN
310K,KITCHEN
T310D,BATH
310S,STAIR
320S,STAIR
300S,STAIR
300,APT UNIT
300E,BR
300J,KITCHEN
304,RA
304A,KITCHEN
310J,KITCHEN
310,APT UNIT
320,APT UNIT
320J,KITCHEN
C305,CORRIDOR
C310,CORRIDOR
C302,CORRIDOR
J305,JAN
J305A,JAN
M300A,BCU
M305A,TEL/ DATA
M320B,BCU
T310C,BATH
T320B,BATH
T320C,BATH
M300B,BCU
M388,ELEC ROOM
M386,TEL/ DATA
J384,JAN
M338,FA CLOSET
M342A,ELEC ROOM
C338,ELEVATOR
C336,ELEVATOR
C334,STAIR
C382,STAIR
C390,CORRIDOR
C380,CORRIDOR
C360,CORRIDOR
M342,TEL/DATA
390A,BR
380,APT UNIT
382,RA
350D,BR
360,APT UNIT
360H,BR
360G,BR
360F,BR
360E,BR
340H,BR
T337,BATH
T360C,BATH
T360D,BATH
360J,KITCHEN
370S,STAIR
380S,STAIR
330S,STAIR
340S,STAIR
350S,STAIR
360S,STAIR
337,RA
330H,BR
330G,BR
330F,BR
330C,BR
330D,BR
330A,BR
330B,BR
T330B,BATH
T330A,BATH
390S,STAIR
390,APT UNIT
390F,BR
390E,BR
390G,BR
390H,BR
T390D,BATH
T390C,BATH
390B,BR
390C,BR
390K,KITCHEN
T390A,BATH
T390B,BATH
390D,BR
T380D,BATH
T380C,BATH
380J,KITCHEN
380H,BR
380G,BR
380F,BR
380E,BR
T382,BATH
370D,BR
370C,BR
370B,BR
370A,BR
370E,BR
370F,BR
370G,BR
370H,BR
350C,BR
350B,BR
350A,BR
T370B,BATH
T370A,BATH
370K,KITCHEN
370,APT UNIT
370J,KITCHEN
T370C,BATH
T370D,BATH
T350B,BATH
T350A,BATH
350K,KITCHEN
350,APT UNIT
350J,KITCHEN
T350C,BATH
T350D,BATH
350E,BR
350F,BR
350G,BR
350H,BR
M390A,BCU
M390B,BCU
M380A,BCU
M370A,BCU
M370B,BCU
M360A,BCU
M360B,BCU
M350A,BCU
M350B,BCU
M340A,BCU
M340B,BCU
M330B,BCU
M330A,BCU
380A,BR
380B,BR
380C,BR
380D,BR
360A,BR
360B,BR
360C,BR
360D,BR
340G,BR
340F,BR
340E,BR
340A,BR
340B,BR
340C,BR
340D,BR
380K,KITCHEN
360K,KITCHEN
340J,KITCHEN
340K,KITCHEN
340,APT UNIT
T380A,BATH
T380B,BATH
T360A,BATH
T360B,BATH
T340D,BATH
T340C,BATH
T330D,BATH
T330C,BATH
T340A,BATH
T340B,BATH
330K,KITCHEN
339,STUDY
C330,CORRIDOR
330E,BR
337A,KITCHEN
330J,KITCHEN
330,APT UNIT
M380B,BCU
C340,CORRIDOR
390J,KITCHEN
382A,KITCHEN
403,STUDY
C405,CORRIDOR
M405A,ELEC ROOM
C412,STAIR
C401,STAIR
C407,ELEVATOR
C409,ELEVATOR
420A,BR
420B,BR
420C,BR
420D,BR
420H,BR
420G,BR
420F,BR
420E,BR
410,APT UNIT
410H,BR
410G,BR
410F,BR
410E,BR
410A,BR
410B,BR
410C,BR
410D,BR
400F,BR
400G,BR
400H,BR
400A,BR
400B,BR
400C,BR
T420C,BATH
T420D,BATH
T420A,BATH
T420B,BATH
M410A,BCU
T410D,BATH
T410A,BATH
T410B,BATH
T400C,BATH
T400D,BATH
T400A,BATH
T404,BATH
420K,KITCHEN
400K,KITCHEN
410K,KITCHEN
410J,KITCHEN
410S,STAIR
420S,STAIR
403S,STAIR
420,APT UNIT
420J,KITCHEN
400E,BR
400J,KITCHEN
400,APT UNIT
404A,KITCHEN
404,RA
C402,CORRIDOR
C410,CORRIDOR
M410B,BCU
M402,FA CLOSET
J405,JAN
M420A,BCU
M420B,BCU
T410C,BATH
